nombre,id,url
Maria José Dupré,1357307,https://www.goodreads.com/author/list/1357307?page=1&per_page=100
Ângela Dutra de Menezes,1100238,https://www.goodreads.com/author/list/1100238?page=1&per_page=100
Conceição Evaristo,885158,https://www.goodreads.com/author/list/885158?page=1&per_page=100
Lygia Fagundes Telles,177148,https://www.goodreads.com/author/list/177148?page=1&per_page=100
Tânia Faillace,1176768,https://www.goodreads.com/author/list/1176768?page=1&per_page=100
Ondina Ferreira,7277570,https://www.goodreads.com/author/list/7277570?page=1&per_page=100
Eva Furnari,1365445,https://www.goodreads.com/author/list/1365445?page=1&per_page=100
Zélia Gattai,5555704,https://www.goodreads.com/author/list/5555704?page=1&per_page=100
Ana Maria Gonçalves,2848159,https://www.goodreads.com/author/list/2848159?page=1&per_page=100
Geni Guimarães,7177913,https://www.goodreads.com/author/list/7177913?page=1&per_page=100
Carolina Maria de Jesus,35281,https://www.goodreads.com/author/list/35281?page=1&per_page=100
Hilda Koller,,
Ângela Lago,889655,https://www.goodreads.com/author/list/889655?page=1&per_page=100
Anilda Leão,,
Elsie Lessa,1247101,https://www.goodreads.com/author/list/1247101?page=1&per_page=100
Adriana Lisboa,1354185,https://www.goodreads.com/author/list/1354185?page=1&per_page=100
Clarice Lispector,86098,https://www.goodreads.com/author/list/86098?page=1&per_page=100
Elisa Lispector,1203996,https://www.goodreads.com/author/list/1203996?page=1&per_page=100
Anésia de Andrade Lourenção,,
Constança Lucas,6424416,https://www.goodreads.com/author/list/6424416?page=1&per_page=100
Lya Fett Luft,,
Ana Paula Maia,5429953,https://www.goodreads.com/author/list/5429953?page=1&per_page=100
Tânia Martins,20523167,https://www.goodreads.com/author/list/20523167?page=1&per_page=100
Maria Lúcia Medeiros,15675888,https://www.goodreads.com/author/list/15675888?page=1&per_page=100
Cecília Meireles,2782269,https://www.goodreads.com/author/list/2782269?page=1&per_page=100
Lenita Miranda de Figueiredo,14175415,https://www.goodreads.com/author/list/14175415?page=1&per_page=100
Ana Miranda,619481,https://www.goodreads.com/author/list/619481?page=1&per_page=100
Adalgisa Nery,14138847,https://www.goodreads.com/author/list/14138847?page=1&per_page=100
Maria Marly de Oliveira,18752214,https://www.goodreads.com/author/list/18752214?page=1&per_page=100
Pagu,47762,https://www.goodreads.com/author/list/47762?page=1&per_page=100
Alina Paim,14224714,https://www.goodreads.com/author/list/14224714?page=1&per_page=100
Marialzira Perestrello,1706520,https://www.goodreads.com/author/list/1706520?page=1&per_page=100
Anita Philipovski,,
Valéria Piassa Polizzi,1357300,https://www.goodreads.com/author/list/1357300?page=1&per_page=100
Nélida Piñón,1025848,https://www.goodreads.com/author/list/1025848?page=1&per_page=100
Adélia Prado,592205,https://www.goodreads.com/author/list/592205?page=1&per_page=100
Rachel de Queiroz,43924,https://www.goodreads.com/author/list/43924?page=1&per_page=100
Ruth Rocha,362487,https://www.goodreads.com/author/list/362487?page=1&per_page=100
Alice Sant’Anna,7055091,https://www.goodreads.com/author/list/7055091?page=1&per_page=100
Miêtta Santiago,22328883,https://www.goodreads.com/author/list/22328883?page=1&per_page=100
Heloísa Seixas,283772,https://www.goodreads.com/author/list/283772?page=1&per_page=100
Diná Silveira de Queirós,,
Helena Silveira,5548,https://www.goodreads.com/author/list/5548?page=1&per_page=100
Maria de Lourdes Teixeira,5135261,https://www.goodreads.com/author/list/5135261?page=1&per_page=100
Márcia Tiburi,3414079,https://www.goodreads.com/author/list/3414079?page=1&per_page=100
Adélia Maria Woellner,19828535,https://www.goodreads.com/author/list/19828535?page=1&per_page=100
Angélica Freitas,5363528,https://www.goodreads.com/author/list/5363528?page=1&per_page=100
Carola Saavedra,2741882,https://www.goodreads.com/author/list/2741882?page=1&per_page=100
Maria Valéria Rezende,2965549,https://www.goodreads.com/author/list/2965549?page=1&per_page=100
Jarid Arraes,14257578,https://www.goodreads.com/author/list/14257578?page=1&per_page=100
Elvira Vigna,134001,https://www.goodreads.com/author/list/134001?page=1&per_page=100
Luisa Geisler,6253207,https://www.goodreads.com/author/list/6253207?page=1&per_page=100
Veronica Stigger,4108673,https://www.goodreads.com/author/list/4108673?page=1&per_page=100
Andréa del Fuego,5315077,https://www.goodreads.com/author/list/5315077?page=1&per_page=100
Aline Bei,17657612,https://www.goodreads.com/author/list/17657612?page=1&per_page=100
Márcia Tiburi,3414079,https://www.goodreads.com/author/list/3414079?page=1&per_page=100
